"county","region","year","wage","unemp_rate","lfpr","college_pct","aging_idx","industry_pct","density","log_density","log_wage","wage_level","high_wage","region_f","year_f"
"南投縣","中部",2024,4.1583,3.3,59.9,41.45,214.33,27.45,115.01,4.745,1.42510633690528,"高薪",1,"中部","2024"
"嘉義市","南部",2024,4.0917,3.3,56.7,65.83,156.08,26.66,4367.75,8.382,1.4089605316188,"低薪",0,"南部","2024"
"嘉義縣","南部",2024,4.1833,3.4,59.4,33.51,276.29,31.34,251.51,5.5275,1.43110040875045,"高薪",1,"南部","2024"
"基隆市","北部",2024,4.6083,3.5,56.5,60.45,224.53,26.12,2722.54,7.9093,1.52785902544107,"高薪",1,"北部","2024"
"宜蘭縣","東部",2024,4.25,3.4,58.3,48.35,179.02,29.37,209.56,5.345,1.44691898293633,"高薪",1,"東部","2024"
"屏東縣","南部",2024,3.9917,3.4,60.5,40.19,208.61,29.93,284.35,5.6502,1.38421720532469,"低薪",0,"南部","2024"
"彰化縣","中部",2024,3.9,3.4,59.3,46.89,167.31,44.89,1140.8,7.0395,1.3609765531356,"低薪",0,"中部","2024"
"新北市","北部",2024,4.6417,3.4,59.1,61.9,172.66,31.68,1971.68,7.5866,1.535080678448,"高薪",1,"北部","2024"
"新竹市","北部",2024,7.5167,3.3,59.3,69.49,99.45,43.23,4390.12,8.3871,2.01712721186055,"高薪",1,"北部","2024"
"新竹縣","北部",2024,6.1333,3.3,60.1,59.7,95.69,53.91,416.55,6.032,1.81373294114945,"高薪",1,"北部","2024"
"桃園市","北部",2024,5.1333,3.4,61.8,56.42,118.11,42.18,1915.43,7.5577,1.6357487272239,"高薪",1,"北部","2024"
"澎湖縣","離島",2024,4.075,3.3,55.2,40.14,207.41,23.6,850.52,6.7458,1.40487074669283,"低薪",0,"離島","2024"
"臺中市","中部",2024,4.3083,3.4,61.1,60.02,127.29,38.86,1291.53,7.1636,1.46054339475255,"高薪",1,"中部","2024"
"臺北市","北部",2024,6.125,3.5,55.6,82.1,189.57,18.28,9164.36,9.1231,1.81237875643079,"高薪",1,"北部","2024"
"臺南市","南部",2024,4.4833,3.4,61.2,50.59,174.53,43.04,848.06,6.743,1.50035938240786,"高薪",1,"南部","2024"
"臺東縣","東部",2024,4.025,3.3,59.5,38.76,183.72,18.37,59.8,4.091,1.39252491087053,"低薪",0,"東部","2024"
"花蓮縣","東部",2024,4.2,3.3,58.1,43.83,188.05,21.98,68.14,4.2216,1.43508452528932,"高薪",1,"東部","2024"
"苗栗縣","中部",2024,4.925,3.3,59,51.57,172.51,45.82,292.73,5.6793,1.59432427462405,"高薪",1,"中部","2024"
"連江縣","離島",2024,NA,0.1,71.9,54.98,162.73,20.68,484.38,6.1829,NA,NA,NA,"離島","2024"
"金門縣","離島",2024,NA,1.2,57.3,51.25,232.16,25.42,946.89,6.8532,NA,NA,NA,"離島","2024"
"雲林縣","南部",2024,4.4417,3.4,59,39.61,198.8,32.84,510.08,6.2346,1.49103718604607,"高薪",1,"南部","2024"
"高雄市","南部",2024,4.5167,3.3,58.2,57.54,181.28,35.99,925.24,6.8301,1.50778163870417,"高薪",1,"南部","2024"
