"county","region","year","wage","unemp_rate","lfpr","college_pct","aging_idx","industry_pct","density","log_density","log_wage","wage_level","high_wage","region_f","year_f"
"南投縣","中部",2019,3.7417,3.7,62.3,40.06,166.16,27.04,120.33,4.7902,1.31954005360649,"低薪",0,"中部","2019"
"南投縣","中部",2020,3.8,3.8,60.3,39.62,174.78,26.97,119.53,4.7836,1.33500106673234,"低薪",0,"中部","2020"
"南投縣","中部",2021,3.8333,3.9,58.3,40.94,184.95,29.25,118.08,4.7714,1.34372605101111,"低薪",0,"中部","2021"
"南投縣","中部",2022,3.8917,3.6,59.8,41.1,195.74,27.27,116.79,4.7604,1.35884608016066,"低薪",0,"中部","2022"
"南投縣","中部",2023,3.9417,3.5,60.1,42.01,203.8,28.44,116.18,4.7551,1.37161210233375,"低薪",0,"中部","2023"
"南投縣","中部",2024,4.1583,3.3,59.9,41.45,214.33,27.45,115.01,4.745,1.42510633690528,"高薪",1,"中部","2024"
"嘉義市","南部",2019,3.6417,3.7,59.5,62.67,115.26,26.77,4459.6,8.4028,1.29245060558973,"低薪",0,"南部","2019"
"嘉義市","南部",2020,3.7667,3.7,60.3,62.31,123.41,26.33,4431.53,8.3965,1.32619928656855,"低薪",0,"南部","2020"
"嘉義市","南部",2021,3.7917,4,55.8,65.89,131.28,29.02,4410.23,8.3917,1.33281446733905,"低薪",0,"南部","2021"
"嘉義市","南部",2022,3.8583,3.6,55.8,65.66,139.69,28.56,4380.2,8.3848,1.35022667195801,"低薪",0,"南部","2022"
"嘉義市","南部",2023,3.9083,3.5,55.9,65.32,147.8,27.17,4391.19,8.3874,1.36310249684321,"低薪",0,"南部","2023"
"嘉義市","南部",2024,4.0917,3.3,56.7,65.83,156.08,26.66,4367.75,8.382,1.4089605316188,"低薪",0,"南部","2024"
"嘉義縣","南部",2019,3.7833,3.7,60.5,32.52,213.05,32.61,264.29,5.577,1.3305966446478,"低薪",0,"南部","2019"
"嘉義縣","南部",2020,3.8083,3.8,59,33.09,226.15,32.58,262.38,5.5698,1.33718289533862,"低薪",0,"南部","2020"
