"county","region","year","wage","unemp_rate","lfpr","college_pct","aging_idx","industry_pct","density","log_density","log_wage","wage_level","high_wage","region_f","year_f","wage_z","unemp_rate_z","lfpr_z","college_pct_z","aging_idx_z","log_density_z","industry_pct_z"
"南投縣","中部",2019,3.7417,3.7,62.3,40.06,166.16,27.04,120.33,4.7902,1.31954005360649,"低薪",0,"中部","2019",-0.775879179154791,0.344322992079922,0.804445729692088,-0.874974841918081,0.270791412574907,-1.34798236570319,-0.587242459058046
"南投縣","中部",2020,3.8,3.8,60.3,39.62,174.78,26.97,119.53,4.7836,1.33500106673234,"低薪",0,"中部","2020",-0.703989133113184,0.462684020607394,0.256949796104279,-0.913425380497294,0.481202309406446,-1.35303754545755,-0.59449818263755
"南投縣","中部",2021,3.8333,3.9,58.3,40.94,184.95,29.25,118.08,4.7714,1.34372605101111,"低薪",0,"中部","2021",-0.662926722595422,0.581045049134867,-0.290546137483531,-0.798073764759656,0.729448112280779,-1.36238196863984,-0.358168900333702
"南投縣","中部",2022,3.8917,3.6,59.8,41.1,195.74,27.27,116.79,4.7604,1.35884608016066,"低薪",0,"中部","2022",-0.59091336601172,0.225961963552448,0.120075812707326,-0.784091750730851,0.99282787757223,-1.37080726823043,-0.563402224439675
"南投縣","中部",2023,3.9417,3.5,60.1,42.01,203.8,28.44,116.18,4.7551,1.37161210233375,"低薪",0,"中部","2023",-0.52925809496403,0.107600935024975,0.202200202745499,-0.704569045942025,1.18956938899476,-1.37486673076045,-0.442127987467964
"南投縣","中部",2024,4.1583,3.3,59.9,41.45,214.33,27.45,115.01,4.745,1.42510633690528,"高薪",1,"中部","2024",-0.262167460785437,-0.129121122029971,0.147450609386717,-0.753506095042841,1.44660265391774,-1.38260268765726,-0.54474464952095
"嘉義市","南部",2019,3.6417,3.7,59.5,62.67,115.26,26.77,4459.6,8.4028,1.29245060558973,"低薪",0,"南部","2019",-0.89918972125017,0.344322992079922,0.0379514226691555,1.10085851552737,-0.971658082636848,1.41903920711261,-0.615228821436133
"嘉義市","南部",2020,3.7667,3.7,60.3,62.31,123.41,26.33,4431.53,8.3965,1.32619928656855,"低薪",0,"南部","2020",-0.745051543630945,0.344322992079922,0.256949796104279,1.06939898396256,-0.772719705702156,1.41421380825618,-0.660836226793016
"嘉義市","南部",2021,3.7917,4,55.8,65.89,131.28,29.02,4410.23,8.3917,1.33281446733905,"低薪",0,"南部","2021",-0.7142239081071,0.69940607766234,-0.974916054468293,1.38224654785706,-0.580616021471969,1.41053731388938,-0.382009134952073
"嘉義市","南部",2022,3.8583,3.6,55.8,65.66,139.69,28.56,4380.2,8.3848,1.35022667195801,"低薪",0,"南部","2022",-0.632099087071577,0.225961963552448,-0.974916054468293,1.36214740269065,-0.375331144168809,1.4052523532371,-0.429689604188814
"嘉義市","南部",2023,3.9083,3.5,55.9,65.32,147.8,27.17,4391.19,8.3874,1.36310249684321,"低薪",0,"南部","2023",-0.570443816023887,0.107600935024975,-0.947541257788902,1.33243562287944,-0.177369151906189,1.40724378768578,-0.573767543838967
