county,year,wage_median_10k,aging_idx,lfpr,unemp_rate,college_pct,industry_pct,density,log_density
南投縣,2019,44.9,166.16,62.3,3.7,40.06,27.04,120.33,4.7902379684500715
南投縣,2020,45.6,174.78,60.3,3.8,39.62,26.97,119.53,4.7835673858898895
南投縣,2021,46.0,184.95,58.3,3.9,40.94,29.25,118.08,4.771362360852162
南投縣,2022,46.7,195.74,59.8,3.6,41.1,27.27,116.79,4.760377450290474
南投縣,2023,47.3,203.8,60.1,3.5,42.01,28.44,116.18,4.755140712564386
南投縣,2024,49.9,214.33,59.9,3.3,41.45,27.45,115.01,4.74501908110449
嘉義市,2019,43.7,115.26,59.5,3.7,62.67,26.77,4459.6,8.402814354893417
嘉義市,2020,45.2,123.41,60.3,3.7,62.31,26.33,4431.53,8.396500175872339
嘉義市,2021,45.5,131.28,55.8,4.0,65.89,29.02,4410.23,8.39168212127592
嘉義市,2022,46.3,139.69,55.8,3.6,65.66,28.56,4380.2,8.384849664428467
嘉義市,2023,46.9,147.8,55.9,3.5,65.32,27.17,4391.19,8.38735553995125
嘉義市,2024,49.1,156.08,56.7,3.3,65.83,26.66,4367.75,8.382003281354553
嘉義縣,2019,45.4,213.05,60.5,3.7,32.52,32.61,264.29,5.577046985101792
嘉義縣,2020,45.7,226.15,59.0,3.8,33.09,32.58,262.38,5.569793834652884
嘉義縣,2021,45.9,240.68,59.0,3.9,33.87,30.73,259.14,5.557368456200665
嘉義縣,2022,46.4,252.45,60.2,3.6,34.58,32.8,256.43,5.546855722882189
嘉義縣,2023,47.7,263.11,59.0,3.5,35.7,32.13,254.54,5.539457994563901
嘉義縣,2024,50.2,276.29,59.4,3.4,33.51,31.34,251.51,5.527482750180741
基隆市,2019,50.8,159.84,57.5,3.8,51.53,27.43,2778.67,7.929727674940442
基隆市,2020,50.5,171.76,57.0,4.0,51.72,28.28,2768.76,7.9261548455250725
基隆市,2021,50.6,184.22,55.5,4.0,53.51,29.34,2741.64,7.916311560474392
基隆市,2022,51.8,196.12,56.6,3.8,55.84,30.3,2723.18,7.9095555940512625
基隆市,2023,52.9,209.87,56.5,3.5,57.57,27.23,2728.67,7.911569589981342
基隆市,2024,55.3,224.53,56.5,3.5,60.45,26.12,2722.54,7.909320547077512
宜蘭縣,2019,47.0,140.17,61.4,3.7,43.93,30.81,211.87,5.355972879036199
宜蘭縣,2020,47.3,147.93,61.6,3.9,41.68,32.51,211.36,5.353562840774015
宜蘭縣,2021,47.7,155.9,59.4,4.0,40.2,33.72,210.25,5.3482972988530575
宜蘭縣,2022,48.6,163.33,57.0,3.7,43.32,32.24,209.49,5.344676005526054
宜蘭縣,2023,50.0,170.45,58.3,3.5,46.47,31.64,209.87,5.3464882914093295
宜蘭縣,2024,51.0,179.02,58.3,3.4,48.35,29.37,209.56,5.345010094540019
屏東縣,2019,42.4,163.81,61.9,3.7,36.7,31.32,295.14,5.687449820035304
屏東縣,2020,43.1,173.76,61.2,3.8,35.64,32.1,292.79,5.679455628498465
屏東縣,2021,43.8,183.96,59.6,3.9,35.81,31.59,289.83,5.669294544197528
屏東縣,2022,44.7,193.08,59.5,3.7,37.3,30.74,287.76,5.6621267993873685
屏東縣,2023,45.9,200.34,60.0,3.5,38.69,31.15,286.42,5.657459265050557
屏東縣,2024,47.9,208.61,60.5,3.4,40.19,29.93,284.35,5.6502058737528085
彰化縣,2019,41.9,124.66,59.0,3.7,40.84,47.22,1184.67,7.077219533773536
彰化縣,2020,42.2,131.73,59.0,3.8,41.8,47.0,1178.96,7.072387972905007
彰化縣,2021,42.9,140.28,59.3,3.8,41.09,45.65,1168.41,7.06339912918973
彰化縣,2022,43.4,147.93,58.9,3.6,41.78,44.36,1159.01,7.055321471430226
彰化縣,2023,44.3,156.62,59.8,3.5,45.21,44.07,1153.25,7.05033932243793
彰化縣,2024,46.8,167.31,59.3,3.4,46.89,44.89,1140.8,7.039485049660032
新北市,2019,51.2,118.97,59.2,3.8,53.09,34.01,1957.89,7.579622641737032
新北市,2020,51.3,128.19,59.2,3.9,54.8,32.2,1963.86,7.582667203277928
新北市,2021,51.5,137.58,58.7,4.0,57.05,32.27,1952.73,7.5769836724715
新北市,2022,52.2,147.86,58.4,3.7,59.3,32.07,1946.61,7.573844677141429
新北市,2023,53.3,159.43,58.6,3.5,61.64,32.0,1968.81,7.58518457830003
新北市,2024,55.7,172.66,59.1,3.4,61.9,31.68,1971.68,7.586641250189813
新竹市,2019,72.1,73.35,58.8,3.7,61.82,43.97,4309.09,8.36848202391431
新竹市,2020,73.4,77.41,58.6,3.8,63.83,41.88,4334.14,8.37427848429724
新竹市,2021,77.0,81.77,58.8,3.8,67.13,42.63,4345.93,8.376995053921819
新竹市,2022,82.1,87.03,59.1,3.6,67.76,45.69,4344.33,8.376626825579265
新竹市,2023,84.5,93.05,59.2,3.4,68.46,43.9,4382.75,8.385431660233984
新竹市,2024,90.2,99.45,59.3,3.3,69.49,43.23,4390.12,8.387111840547563
新竹縣,2019,64.2,77.69,61.0,3.8,52.76,49.41,395.04,5.97898702559687
新竹縣,2020,64.9,80.43,61.7,3.8,53.31,47.41,399.83,5.991039456769885
新竹縣,2021,68.4,83.55,59.7,3.8,53.4,50.3,403.2,5.999432716757159
新竹縣,2022,69.2,86.71,60.4,3.7,55.51,53.52,406.65,6.007952864612784
新竹縣,2023,71.6,90.55,59.1,3.5,57.96,52.27,412.8,6.022963214167353
新竹縣,2024,73.6,95.69,60.1,3.3,59.7,53.91,416.55,6.032006502420918
桃園市,2019,55.5,81.4,57.2,3.8,48.96,44.23,1842.03,7.518623503327578
桃園市,2020,55.3,88.03,59.0,4.0,50.76,43.22,1858.22,7.5273743192533695
桃園市,2021,57.1,94.79,61.0,4.0,51.59,42.8,1861.16,7.5289552282286945
桃園市,2022,58.0,101.89,61.6,3.7,54.05,43.12,1868.59,7.532939414744407
桃園市,2023,59.2,109.48,61.5,3.5,56.26,43.36,1898.06,7.54858759089361
桃園市,2024,61.6,118.11,61.8,3.4,56.42,42.18,1915.43,7.557697419489662
澎湖縣,2019,42.3,159.4,52.1,3.7,45.96,21.35,829.29,6.720569913021981
澎湖縣,2020,42.8,165.71,51.7,3.9,45.63,21.46,835.16,6.727623323261175
澎湖縣,2021,42.8,175.36,52.1,4.1,45.96,22.76,838.22,6.731280595860092
澎湖縣,2022,44.5,184.14,55.1,3.8,45.34,23.92,845.18,6.739549622423593
澎湖縣,2023,46.6,194.34,56.1,3.5,40.5,24.92,849.25,6.7443536070406935
澎湖縣,2024,48.9,207.41,55.2,3.3,40.14,23.6,850.52,6.745847927138501
臺中市,2019,47.1,90.43,58.1,3.7,52.17,40.77,1271.06,7.1476064769989245
臺中市,2020,47.5,97.42,58.8,3.9,54.75,40.63,1273.55,7.149563555525502
